=== allergies ===
created_at  |  timestamp without time zone  |  nullable=YES  |  default=None
updated_at  |  timestamp without time zone  |  nullable=YES  |  default=None
id  |  integer  |  nullable=NO  |  default=nextval('allergies_id_seq'::regclass)
name  |  character varying  |  nullable=NO  |  default=None   
patient_id  |  integer  |  nullable=NO  |  default=None       

=== appointments ===
created_at  |  timestamp without time zone  |  nullable=YES  |  default=None
updated_at  |  timestamp without time zone  |  nullable=YES  |  default=None
id  |  integer  |  nullable=NO  |  default=nextval('appointments_id_seq'::regclass)
patient_id  |  integer  |  nullable=NO  |  default=None       
hospital_id  |  integer  |  nullable=NO  |  default=None      
doctor_id  |  integer  |  nullable=NO  |  default=None        
appointment_date  |  date  |  nullable=NO  |  default=None    
appointment_time  |  time without time zone  |  nullable=NO  |  default=None
reason  |  character varying  |  nullable=YES  |  default=None
mode  |  character varying  |  nullable=YES  |  default=None  
status  |  character varying  |  nullable=YES  |  default=None
appointment_id  |  character varying  |  nullable=NO  |  default=gen_random_uuid()

=== assignments ===
id  |  integer  |  nullable=NO  |  default=nextval('assignments_id_seq'::regclass)
patient_id  |  integer  |  nullable=NO  |  default=None       
doctor_id  |  integer  |  nullable=NO  |  default=None        
treatment_plan_id  |  integer  |  nullable=YES  |  default=None
specialty  |  character varying  |  nullable=YES  |  default=None
doctor_category  |  character varying  |  nullable=YES  |  default=None
medical_history  |  character varying  |  nullable=YES  |  default=None
reason  |  character varying  |  nullable=YES  |  default=None
old_medications  |  json  |  nullable=YES  |  default=None    
hospital_id  |  integer  |  nullable=NO  |  default=None      
created_by  |  integer  |  nullable=NO  |  default=None       


=== doctors ===
created_at  |  timestamp without time zone  |  nullable=YES  |  default=None
updated_at  |  timestamp without time zone  |  nullable=YES  |  default=None
id  |  integer  |  nullable=NO  |  default=nextval('doctors_id_seq'::regclass)
user_id  |  integer  |  nullable=NO  |  default=None
hospital_id  |  integer  |  nullable=YES  |  default=None     
npi_number  |  character varying  |  nullable=YES  |  default=None
first_name  |  character varying  |  nullable=YES  |  default=None
last_name  |  character varying  |  nullable=YES  |  default=None
email  |  character varying  |  nullable=NO  |  default=None  
phone  |  character varying  |  nullable=NO  |  default=None  
